#separator:tab
#html:true
#notetype:Basic
#deck:Deutsch::不规则动词
#tags column:3
hängen	<div class="irregular-verb-card"><h3>hängen</h3><table><tr><th>中文</th><td>挂 / 悬挂</td></tr><tr><th>现在时</th><td>hängst, hängt</td></tr><tr><th>过去式</th><td>hing</td></tr><tr><th>第二分词</th><td>gehangen</td></tr><tr><th>命令式</th><td>häng(e)</td></tr><tr><th>第二虚拟式</th><td>hinge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
kennen	<div class="irregular-verb-card"><h3>kennen</h3><table><tr><th>中文</th><td>认识，知道 / 认识</td></tr><tr><th>现在时</th><td>kennst, kennt</td></tr><tr><th>过去式</th><td>kannte</td></tr><tr><th>第二分词</th><td>gekannt</td></tr><tr><th>命令式</th><td>kenn(e)</td></tr><tr><th>第二虚拟式</th><td>kennte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
klingen	<div class="irregular-verb-card"><h3>klingen</h3><table><tr><th>中文</th><td>发出声音 / 听起来</td></tr><tr><th>现在时</th><td>klingst, klingt</td></tr><tr><th>过去式</th><td>klang</td></tr><tr><th>第二分词</th><td>geklungen</td></tr><tr><th>命令式</th><td>kling(e)</td></tr><tr><th>第二虚拟式</th><td>klänge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
kommen	<div class="irregular-verb-card"><h3>kommen</h3><table><tr><th>中文</th><td>来</td></tr><tr><th>现在时</th><td>kommst, kommt</td></tr><tr><th>过去式</th><td>kam</td></tr><tr><th>第二分词</th><td>gekommen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>komm(e)</td></tr><tr><th>第二虚拟式</th><td>käme</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
können	<div class="irregular-verb-card"><h3>können</h3><table><tr><th>中文</th><td>能 / 可以 / 能够</td></tr><tr><th>现在时</th><td>kannst, kann</td></tr><tr><th>过去式</th><td>konnte</td></tr><tr><th>第二分词</th><td>gekonnt</td></tr><tr><th>第二虚拟式</th><td>könnte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
laden	<div class="irregular-verb-card"><h3>laden</h3><table><tr><th>中文</th><td>装载；邀请</td></tr><tr><th>现在时</th><td>lädst, lädt</td></tr><tr><th>过去式</th><td>lud</td></tr><tr><th>第二分词</th><td>geladen</td></tr><tr><th>命令式</th><td>lad(e)</td></tr><tr><th>第二虚拟式</th><td>lüde</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
lassen	<div class="irregular-verb-card"><h3>lassen</h3><table><tr><th>中文</th><td>让，允许 / 留下，放置 / 让；留下</td></tr><tr><th>现在时</th><td>lässt, lässt</td></tr><tr><th>过去式</th><td>ließ</td></tr><tr><th>第二分词</th><td>gelassen</td></tr><tr><th>命令式</th><td>lass(e)</td></tr><tr><th>第二虚拟式</th><td>ließe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
laufen	<div class="irregular-verb-card"><h3>laufen</h3><table><tr><th>中文</th><td>跑 / 走 / 跑；行走</td></tr><tr><th>现在时</th><td>läufst, läuft</td></tr><tr><th>过去式</th><td>lief</td></tr><tr><th>第二分词</th><td>gelaufen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>lauf(e)</td></tr><tr><th>第二虚拟式</th><td>liefe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
leiden	<div class="irregular-verb-card"><h3>leiden</h3><table><tr><th>中文</th><td>受苦，患病 / 忍受 / 忍受；患病</td></tr><tr><th>现在时</th><td>leidest, leidet</td></tr><tr><th>过去式</th><td>litt</td></tr><tr><th>第二分词</th><td>gelitten</td></tr><tr><th>命令式</th><td>leid(e)</td></tr><tr><th>第二虚拟式</th><td>litte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
leihen	<div class="irregular-verb-card"><h3>leihen</h3><table><tr><th>中文</th><td>借出 / 借入 / 借出；借给 / 借</td></tr><tr><th>现在时</th><td>leihst, leiht</td></tr><tr><th>过去式</th><td>lieh</td></tr><tr><th>第二分词</th><td>geliehen</td></tr><tr><th>命令式</th><td>leih(e)</td></tr><tr><th>第二虚拟式</th><td>liehe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
lesen	<div class="irregular-verb-card"><h3>lesen</h3><table><tr><th>中文</th><td>读 / 阅读</td></tr><tr><th>现在时</th><td>liest, liest</td></tr><tr><th>过去式</th><td>las</td></tr><tr><th>第二分词</th><td>gelesen</td></tr><tr><th>命令式</th><td>lies</td></tr><tr><th>第二虚拟式</th><td>läse</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
liegen	<div class="irregular-verb-card"><h3>liegen</h3><table><tr><th>中文</th><td>躺；位于</td></tr><tr><th>现在时</th><td>liegst, liegt</td></tr><tr><th>过去式</th><td>lag</td></tr><tr><th>第二分词</th><td>gelegen</td></tr><tr><th>命令式</th><td>lieg(e)</td></tr><tr><th>第二虚拟式</th><td>läge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
müssen	<div class="irregular-verb-card"><h3>müssen</h3><table><tr><th>中文</th><td>必须</td></tr><tr><th>现在时</th><td>musst, muss</td></tr><tr><th>过去式</th><td>musste</td></tr><tr><th>第二分词</th><td>gemusst</td></tr><tr><th>第二虚拟式</th><td>müsste</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
